,alignment,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,full_path,collimator_type,beam_type,beam_state
1644,1540621387_TCTPV.4R5.B2_Align,1,2.6470483870967736,4.567305662664929,5.611,2.274137334333766,2.0687729957500776,3.337844813058406,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540621387_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
1645,1540628956_TCTPV.4R5.B2_Align,0,3.3631249999999993,3.815544171639574,5.249,-1.1207907937884325,0.1753157110023726,6.154804791832687,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540628956_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
1646,1540637688_TCSP.A4L6.B2_Align,0,21.176999999999992,3.495416862916708,120.003,28.33418950660434,57.41275227480617,91.6688104886388,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540637688_TCSP.A4L6.B2_Align,TCSP,PROTON,I
1647,1540622750_TCTPV.4R5.B2_Align,1,15.490583333333333,1.3474970134702038,38.372,15.46824041103737,1.0308287324144845,24.41991675426808,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540622750_TCTPV.4R5.B2_Align,TCTPV,PROTON,I
1648,1540619143_TCTPH.4R2.B2_Align,1,225.75102702702702,1.7505381253301873,286.885,403381.0734549096,-2.0490349346527525e-06,-403151.05008318374,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540619143_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1649,1540616243_TCTPH.4R2.B2_Align,1,1.176499999999999,1.5241003591303572,5.972999999999999,0.5224534190845397,238.72633282188548,5.45054658091546,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540616243_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1650,1540620228_TCTPH.4R2.B2_Align,0,6.826312500000001,3.2746384859029387,10.136000000000001,5.482697531726023,1.1473869189269943,4.807010114149511,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540620228_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
1651,1540633684_TCSG.D4L7.B1_Align,1,8.497571428571426,1.6101527283337653,11.402999999999999,8.267223368654248,3.5091169713145334,3.136641618546967,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540633684_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1652,1540624579_TCSG.D4L7.B1_Align,1,4.6374883720930224,2.1646053200034796,8.325999999999999,3.6157478692495273,1.9435210957040956,4.7645699556968735,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540624579_TCSG.D4L7.B1_Align,TCSG,PROTON,I
1653,1540614451_TCTPH.4R2.B2_Align,1,1.558620689655172,3.710095731371513,4.887,0.6894189077171239,84.04688288118298,4.197581092282878,/Users/gianmarcoricci/Google Drive/UNI/Thesis CERN/Data/Auto_data/2018_MD4/1540614451_TCTPH.4R2.B2_Align,TCTPH,PROTON,I
