Timestamp,position,BLMTI.05L7.B2I10_TCSG.E5L7.B2
1459607592340,-3.6,1.0859999999999999e-06
1459607592350,-3.6,7.240000000000001e-07
1459607592360,-3.6,1.81e-06
1459607592370,-3.6,0.0
1459607592380,-3.6,1.4480000000000002e-06
1459607592390,-3.6,7.240000000000001e-07
1459607592400,-3.6,1.4480000000000002e-06
1459607592410,-3.6,0.0
1459607592420,-3.6,1.4480000000000002e-06
1459607592430,-3.6,3.6200000000000004e-07
1459607592440,-3.6,7.240000000000001e-07
1459607592450,-3.6,1.81e-06
1459607592460,-3.6,1.0859999999999999e-06
1459607592470,-3.6,7.240000000000001e-07
1459607592480,-3.6,1.4480000000000002e-06
1459607592490,-3.6,0.0
1459607592500,-3.6,7.240000000000001e-07
1459607592510,-3.6,3.6200000000000004e-07
1459607592520,-3.6,1.0859999999999999e-06
1459607592530,-3.6,7.240000000000001e-07
1459607592540,-3.6,1.81e-06
1459607592550,-3.6,0.0
1459607592560,-3.6,1.4480000000000002e-06
1459607592570,-3.6,0.0
1459607592580,-3.6,1.0859999999999999e-06
1459607592590,-3.6,1.0859999999999999e-06
1459607592600,-3.6,1.4480000000000002e-06
1459607592610,-3.6,1.0859999999999999e-06
1459607592620,-3.6,1.4480000000000002e-06
1459607592630,-3.6,1.0859999999999999e-06
1459607592640,-3.6,2.5340000000000002e-06
1459607592650,-3.6,0.0
1459607592660,-3.6,2.5340000000000002e-06
1459607592670,-3.6,1.4480000000000002e-06
1459607592680,-3.6,7.240000000000001e-07
1459607592690,-3.6,1.81e-06
1459607592700,-3.6,2.5340000000000002e-06
1459607592710,-3.6,3.6200000000000004e-07
1459607592720,-3.6,3.62e-06
1459607592730,-3.6,1.81e-06
1459607592740,-3.6,3.6200000000000004e-07
1459607592750,-3.6,2.8960000000000003e-06
1459607592760,-3.6,1.4480000000000002e-06
1459607592770,-3.6,7.240000000000001e-07
1459607592780,-3.6,1.0859999999999999e-06
1459607592790,-3.6,1.81e-06
1459607592800,-3.6,2.1719999999999997e-06
1459607592810,-3.6,3.6200000000000004e-07
1459607592820,-3.6,2.8960000000000003e-06
1459607592830,-3.6,2.1719999999999997e-06
1459607592840,-3.6,1.0859999999999999e-06
1459607592850,-3.6,2.8960000000000003e-06
1459607592860,-3.6,4.706e-06
1459607592870,-3.6,2.5340000000000002e-06
1459607592880,-3.6,6.877999999999999e-06
1459607592890,-3.6,1.1584000000000001e-05
1459607592900,-3.6,9.05e-06
1459607592910,-3.6,1.1584000000000001e-05
1459607592920,-3.6,1.0136000000000001e-05
1459607592930,-3.6,4.706e-06
1459607592940,-3.6,6.877999999999999e-06
1459607592950,-3.6,3.258e-06
1459607592960,-3.6,3.258e-06
1459607592970,-3.6,4.343999999999999e-06
1459607592980,-3.6,2.8960000000000003e-06
1459607592990,-3.6,3.982e-06
1459607593000,-3.6,5.0680000000000004e-06
1459607593010,-3.6,1.0859999999999999e-06
1459607593020,-3.6,3.982e-06
1459607593030,-3.6,2.1719999999999997e-06
1459607593040,-3.6,1.0859999999999999e-06
1459607593050,-3.6,4.343999999999999e-06
1459607593060,-3.6,3.62e-06
1459607593070,-3.6,1.81e-06
1459607593080,-3.6,3.982e-06
1459607593090,-3.6,4.343999999999999e-06
1459607593100,-3.6,2.8960000000000003e-06
1459607593110,-3.6,3.982e-06
1459607593120,-3.6,3.982e-06
1459607593130,-3.6,1.4480000000000002e-06
1459607593140,-3.6,5.43e-06
1459607593150,-3.6,7.24e-06
1459607593160,-3.6,8.326e-06
1459607593170,-3.6,1.1584000000000001e-05
1459607593180,-3.6,1.0498e-05
1459607593190,-3.6,6.516e-06
1459607593200,-3.6,5.792000000000001e-06
1459607593210,-3.6,4.343999999999999e-06
1459607593220,-3.6,2.8960000000000003e-06
1459607593230,-3.6,2.1719999999999997e-06
1459607593240,-3.6,2.5340000000000002e-06
1459607593250,-3.6,1.81e-06
1459607593260,-3.6,2.5340000000000002e-06
1459607593270,-3.6,0.0
1459607593280,-3.6,2.1719999999999997e-06
1459607593290,-3.6,0.0
1459607593300,-3.6,1.4480000000000002e-06
1459607593310,-3.6,1.0859999999999999e-06
1459607593320,-3.6,3.6200000000000004e-07
1459607593330,-3.6,7.240000000000001e-07
1459607593340,-3.6,1.81e-06
1459607593350,-3.6,0.0
1459607593360,-3.6,1.0859999999999999e-06
1459607593370,-3.6,1.0859999999999999e-06
1459607593380,-3.6,0.0
1459607593390,-3.6,1.0859999999999999e-06
1459607593400,-3.6,1.4480000000000002e-06
1459607593410,-3.6,0.0
1459607593420,-3.6,1.4480000000000002e-06
1459607593430,-3.6,0.0
1459607593440,-3.6,1.0859999999999999e-06
1459607593450,-3.6,1.81e-06
1459607593460,-3.6,7.240000000000001e-07
1459607593470,-3.6,1.0859999999999999e-06
1459607593480,-3.6,1.81e-06
1459607593490,-3.6,7.240000000000001e-07
1459607593500,-3.6,2.1719999999999997e-06
1459607593510,-3.6,2.8960000000000003e-06
1459607593520,-3.6,2.8960000000000003e-06
1459607593530,-3.6,7.240000000000001e-07
1459607593540,-3.6,4.706e-06
1459607593550,-3.6,1.0859999999999999e-06
1459607593560,-3.6,4.706e-06
1459607593570,-3.6,1.4480000000000002e-06
1459607593580,-3.6,3.982e-06
1459607593590,-3.6,7.240000000000001e-07
1459607593600,-3.6,2.8960000000000003e-06
1459607593610,-3.6,1.0859999999999999e-06
1459607593620,-3.6,1.81e-06
1459607593630,-3.6,1.4480000000000002e-06
1459607593640,-3.6,1.81e-06
1459607593650,-3.6,1.81e-06
1459607593660,-3.6,1.0859999999999999e-06
1459607593670,-3.6,1.81e-06
1459607593680,-3.6,7.240000000000001e-07
1459607593690,-3.6,2.8960000000000003e-06
1459607593700,-3.6,0.0
1459607593710,-3.6,1.0859999999999999e-06
1459607593720,-3.6,1.81e-06
1459607593730,-3.6,3.6200000000000004e-07
1459607593740,-3.6,1.81e-06
1459607593750,-3.6,7.240000000000001e-07
1459607593760,-3.6,7.240000000000001e-07
1459607593770,-3.6,3.6200000000000004e-07
1459607593780,-3.6,2.1719999999999997e-06
1459607593790,-3.6,3.6200000000000004e-07
1459607593800,-3.6,2.8960000000000003e-06
1459607593810,-3.6,7.240000000000001e-07
1459607593820,-3.6,2.8960000000000003e-06
1459607593830,-3.6,1.0859999999999999e-06
1459607593840,-3.6,1.81e-06
1459607593850,-3.6,3.6200000000000004e-07
1459607593860,-3.6,1.81e-06
1459607593870,-3.6,0.0
1459607593880,-3.6,2.1719999999999997e-06
1459607593890,-3.6,1.0859999999999999e-06
1459607593900,-3.6,3.6200000000000004e-07
1459607593910,-3.6,1.0859999999999999e-06
1459607593920,-3.6,3.6200000000000004e-07
1459607593930,-3.6,2.1719999999999997e-06
1459607593940,-3.6,1.0859999999999999e-06
