Timestamp,position,BLMTI.06L7.B2I10_TCLA.C6L7.B2
1469746997120,0.115,1.629e-05
1469746997130,0.115,1.5928e-05
1469746997140,0.115,1.5928e-05
1469746997150,0.115,1.0136000000000001e-05
1469746997160,0.115,1.2308e-05
1469746997170,0.115,5.43e-06
1469746997180,0.115,6.154e-06
1469746997190,0.115,2.1719999999999997e-06
1469746997200,0.115,6.516e-06
1469746997210,0.115,2.5340000000000002e-06
1469746997220,0.115,3.982e-06
1469746997230,0.115,2.1719999999999997e-06
1469746997240,0.115,5.0680000000000004e-06
1469746997250,0.115,3.62e-06
1469746997260,0.115,4.343999999999999e-06
1469746997270,0.115,4.706e-06
1469746997280,0.115,3.258e-06
1469746997290,0.115,7.602e-06
1469746997300,0.115,1.3394000000000001e-05
1469746997310,0.115,1.9548e-05
1469746997320,0.115,1.0498e-05
1469746997330,0.115,1.7738e-05
1469746997340,0.115,2.3891999999999998e-05
1469746997350,0.115,2.5702e-05
1469746997360,0.115,1.4118e-05
1469746997370,0.115,1.1945999999999999e-05
1469746997380,0.115,1.1945999999999999e-05
1469746997390,0.115,1.0498e-05
1469746997400,0.115,8.687999999999999e-06
1469746997410,0.115,5.43e-06
1469746997420,0.115,4.343999999999999e-06
1469746997430,0.115,2.8960000000000003e-06
1469746997440,0.115,4.343999999999999e-06
1469746997450,0.115,2.1719999999999997e-06
1469746997460,0.115,3.258e-06
1469746997470,0.115,2.8960000000000003e-06
1469746997480,0.115,2.5340000000000002e-06
1469746997490,0.115,3.258e-06
1469746997500,0.115,2.5340000000000002e-06
1469746997510,0.115,5.43e-06
1469746997520,0.115,3.982e-06
1469746997530,0.115,6.516e-06
1469746997540,0.115,1.3394000000000001e-05
1469746997550,0.115,3.801e-05
1469746997560,0.115,3.2942e-05
1469746997570,0.115,2.1358e-05
1469746997580,0.115,1.448e-05
1469746997590,0.115,1.991e-05
1469746997600,0.115,1.267e-05
1469746997610,0.115,7.964e-06
1469746997620,0.115,6.154e-06
1469746997630,0.115,3.982e-06
1469746997640,0.115,3.62e-06
1469746997650,0.115,3.982e-06
1469746997660,0.115,3.982e-06
1469746997670,0.115,2.5340000000000002e-06
1469746997680,0.115,3.258e-06
1469746997690,0.115,3.258e-06
1469746997700,0.115,3.258e-06
1469746997710,0.115,3.258e-06
1469746997720,0.115,2.5340000000000002e-06
1469746997730,0.115,1.81e-06
1469746997740,0.115,5.0680000000000004e-06
1469746997750,0.115,6.516e-06
1469746997760,0.115,8.326e-06
1469746997770,0.115,1.0498e-05
1469746997780,0.115,1.8100000000000003e-05
1469746997790,0.115,2.7511999999999997e-05
1469746997800,0.115,3.4751999999999995e-05
1469746997810,0.115,3.8734e-05
1469746997820,0.115,2.5702e-05
1469746997830,0.115,2.8598000000000003e-05
1469746997840,0.115,2.4254000000000002e-05
1469746997850,0.115,1.6652e-05
1469746997860,0.115,7.602e-06
1469746997870,0.115,9.05e-06
1469746997880,0.115,7.964e-06
1469746997890,0.115,7.24e-06
1469746997900,0.115,3.62e-06
1469746997910,0.115,3.982e-06
1469746997920,0.115,4.343999999999999e-06
1469746997930,0.115,7.24e-06
1469746997940,0.115,4.706e-06
1469746997950,0.115,4.343999999999999e-06
1469746997960,0.115,7.24e-06
1469746997970,0.115,7.602e-06
1469746997980,0.115,1.1584000000000001e-05
1469746997990,0.115,1.086e-05
1469746998000,0.115,1.5928e-05
1469746998010,0.115,1.448e-05
1469746998020,0.115,2.1358e-05
1469746998030,0.115,3.1856e-05
1469746998040,0.115,1.9186e-05
1469746998050,0.115,1.8100000000000003e-05
1469746998060,0.115,1.1945999999999999e-05
