Timestamp,position,BLMTI.04R7.B2I10_TCSG.D4R7.B2
1469747352160,-1.44,1.1945999999999999e-05
1469747352170,-1.44,1.086e-05
1469747352180,-1.44,1.3394000000000001e-05
1469747352190,-1.44,9.774e-06
1469747352200,-1.44,1.0136000000000001e-05
1469747352210,-1.44,1.0136000000000001e-05
1469747352220,-1.44,1.086e-05
1469747352230,-1.44,8.687999999999999e-06
1469747352240,-1.44,6.877999999999999e-06
1469747352250,-1.44,8.687999999999999e-06
1469747352260,-1.44,1.1945999999999999e-05
1469747352270,-1.44,1.0498e-05
1469747352280,-1.44,1.0498e-05
1469747352290,-1.44,1.086e-05
1469747352300,-1.44,1.1945999999999999e-05
1469747352310,-1.44,9.774e-06
1469747352320,-1.44,1.086e-05
1469747352330,-1.44,9.412e-06
1469747352340,-1.44,9.412e-06
1469747352350,-1.44,1.1584000000000001e-05
1469747352360,-1.44,9.774e-06
1469747352370,-1.44,9.412e-06
1469747352380,-1.44,9.412e-06
1469747352390,-1.44,9.774e-06
1469747352400,-1.44,9.774e-06
1469747352410,-1.44,9.05e-06
1469747352420,-1.44,9.05e-06
1469747352430,-1.44,7.964e-06
1469747352440,-1.44,1.0136000000000001e-05
1469747352450,-1.44,7.24e-06
1469747352460,-1.44,1.0498e-05
1469747352470,-1.44,8.687999999999999e-06
1469747352480,-1.44,1.0136000000000001e-05
1469747352490,-1.44,1.0136000000000001e-05
1469747352500,-1.44,1.2308e-05
1469747352510,-1.44,8.687999999999999e-06
1469747352520,-1.44,1.086e-05
1469747352530,-1.44,1.0498e-05
1469747352540,-1.44,1.3032e-05
1469747352550,-1.44,1.267e-05
1469747352560,-1.44,1.267e-05
1469747352570,-1.44,1.267e-05
1469747352580,-1.44,1.1222e-05
1469747352590,-1.44,1.3032e-05
1469747352600,-1.44,1.2308e-05
1469747352610,-1.44,1.3032e-05
1469747352620,-1.44,1.3032e-05
1469747352630,-1.44,9.05e-06
1469747352640,-1.44,8.687999999999999e-06
1469747352650,-1.44,7.964e-06
1469747352660,-1.44,7.964e-06
1469747352670,-1.44,4.706e-06
1469747352680,-1.44,8.326e-06
1469747352690,-1.44,6.877999999999999e-06
1469747352700,-1.44,7.602e-06
1469747352710,-1.44,8.687999999999999e-06
1469747352720,-1.44,8.326e-06
1469747352730,-1.44,9.05e-06
1469747352740,-1.44,1.0498e-05
1469747352750,-1.44,1.0498e-05
1469747352760,-1.44,1.0136000000000001e-05
1469747352770,-1.44,1.086e-05
1469747352780,-1.44,1.0498e-05
1469747352790,-1.44,1.1222e-05
1469747352800,-1.44,1.267e-05
1469747352810,-1.44,1.0136000000000001e-05
1469747352820,-1.44,9.774e-06
1469747352830,-1.44,1.1945999999999999e-05
1469747352840,-1.44,1.0498e-05
1469747352850,-1.44,8.687999999999999e-06
1469747352860,-1.44,8.687999999999999e-06
1469747352870,-1.44,9.412e-06
1469747352880,-1.44,9.774e-06
1469747352890,-1.44,8.687999999999999e-06
1469747352900,-1.44,9.05e-06
1469747352910,-1.44,6.516e-06
1469747352920,-1.44,7.24e-06
1469747352930,-1.44,7.602e-06
1469747352940,-1.44,6.877999999999999e-06
1469747352950,-1.44,6.877999999999999e-06
1469747352960,-1.44,8.687999999999999e-06
1469747352970,-1.44,9.774e-06
1469747352980,-1.44,8.687999999999999e-06
1469747352990,-1.44,1.1584000000000001e-05
1469747353000,-1.44,1.086e-05
1469747353010,-1.44,9.412e-06
1469747353020,-1.44,1.1945999999999999e-05
1469747353030,-1.44,1.0136000000000001e-05
1469747353040,-1.44,9.05e-06
1469747353050,-1.44,7.602e-06
1469747353060,-1.44,1.1222e-05
1469747353070,-1.44,7.964e-06
1469747353080,-1.44,8.687999999999999e-06
1469747353090,-1.44,6.516e-06
1469747353100,-1.44,6.877999999999999e-06
1469747353110,-1.44,7.24e-06
1469747353120,-1.44,9.412e-06
1469747353130,-1.44,7.964e-06
1469747353140,-1.44,6.877999999999999e-06
1469747353150,-1.44,9.774e-06
1469747353160,-1.44,7.964e-06
1469747353170,-1.44,1.0136000000000001e-05
1469747353180,-1.44,7.602e-06
1469747353190,-1.44,8.326e-06
1469747353200,-1.44,9.05e-06
1469747353210,-1.44,1.0498e-05
1469747353220,-1.44,9.05e-06
1469747353230,-1.44,7.602e-06
1469747353240,-1.44,1.0136000000000001e-05
1469747353250,-1.44,9.412e-06
1469747353260,-1.44,1.1222e-05
1469747353270,-1.44,1.086e-05
1469747353280,-1.44,7.24e-06
1469747353290,-1.44,9.05e-06
1469747353300,-1.44,1.0498e-05
1469747353310,-1.44,1.0498e-05
1469747353320,-1.44,7.24e-06
1469747353330,-1.44,8.326e-06
1469747353340,-1.44,1.0136000000000001e-05
1469747353350,-1.44,8.687999999999999e-06
1469747353360,-1.44,7.602e-06
1469747353370,-1.44,5.43e-06
1469747353380,-1.44,9.774e-06
1469747353390,-1.44,9.774e-06
1469747353400,-1.44,8.687999999999999e-06
1469747353410,-1.44,9.05e-06
