Timestamp,position,BLMTI.06L7.B2I10_TCLA.D6L7.B2
1469746013470,-0.875,1.9548e-05
1469746013480,-0.875,4.6698e-05
1469746013490,-0.875,3.0046e-05
1469746013500,-0.875,1.5928e-05
1469746013510,-0.875,9.774e-06
1469746013520,-0.875,4.706e-06
1469746013530,-0.875,5.0680000000000004e-06
1469746013540,-0.875,3.62e-06
1469746013550,-0.875,7.24e-06
1469746013560,-0.875,5.0680000000000004e-06
1469746013570,-0.875,1.4118e-05
1469746013580,-0.875,1.0498e-05
1469746013590,-0.875,3.258e-05
1469746013600,-0.875,1.3755999999999998e-05
1469746013610,-0.875,1.2308e-05
1469746013620,-0.875,5.43e-06
1469746013630,-0.875,6.877999999999999e-06
1469746013640,-0.875,1.0859999999999999e-06
1469746013650,-0.875,2.8960000000000003e-06
1469746013660,-0.875,7.602e-06
1469746013670,-0.875,6.516e-06
1469746013680,-0.875,8.326e-06
1469746013690,-0.875,7.964e-06
1469746013700,-0.875,1.1222e-05
1469746013710,-0.875,7.24e-06
1469746013720,-0.875,7.602e-06
1469746013730,-0.875,8.687999999999999e-06
1469746013740,-0.875,1.5204e-05
1469746013750,-0.875,1.7738e-05
1469746013760,-0.875,1.6652e-05
1469746013770,-0.875,2.0634e-05
1469746013780,-0.875,1.3394000000000001e-05
1469746013790,-0.875,1.8100000000000003e-05
1469746013800,-0.875,1.1222e-05
1469746013810,-0.875,1.8824e-05
1469746013820,-0.875,9.412e-06
1469746013830,-0.875,1.3394000000000001e-05
1469746013840,-0.875,6.154e-06
1469746013850,-0.875,6.877999999999999e-06
1469746013860,-0.875,5.792000000000001e-06
1469746013870,-0.875,6.516e-06
1469746013880,-0.875,7.602e-06
1469746013890,-0.875,1.448e-05
1469746013900,-0.875,2.4254000000000002e-05
1469746013910,-0.875,4.0544000000000003e-05
1469746013920,-0.875,6.8056e-05
1469746013930,-0.875,4.3078e-05
1469746013940,-0.875,4.887e-05
1469746013950,-0.875,1.7014e-05
1469746013960,-0.875,9.05e-06
1469746013970,-0.875,8.326e-06
1469746013980,-0.875,5.792000000000001e-06
1469746013990,-0.875,6.516e-06
