Timestamp,position,BLMTI.04R3.B1I10_TCSG.4R3.B1
1494678441730,0.06,1.0859999999999999e-06
1494678441740,0.06,1.0859999999999999e-06
1494678441750,0.06,1.81e-06
1494678441760,0.06,1.0859999999999999e-06
1494678441770,0.06,7.240000000000001e-07
1494678441780,0.06,1.0859999999999999e-06
1494678441790,0.06,7.240000000000001e-07
1494678441800,0.06,1.4480000000000002e-06
1494678441810,0.06,7.240000000000001e-07
1494678441820,0.06,7.240000000000001e-07
1494678441830,0.06,3.6200000000000004e-07
1494678441840,0.06,7.240000000000001e-07
1494678441850,0.06,7.240000000000001e-07
1494678441860,0.06,7.240000000000001e-07
1494678441870,0.06,7.240000000000001e-07
1494678441880,0.06,0.0
1494678441890,0.06,1.81e-06
1494678441900,0.06,3.6200000000000004e-07
1494678441910,0.06,1.0859999999999999e-06
1494678441920,0.06,7.240000000000001e-07
1494678441930,0.06,1.0859999999999999e-06
1494678441940,0.06,3.6200000000000004e-07
1494678441950,0.06,1.0859999999999999e-06
1494678441960,0.06,3.6200000000000004e-07
1494678441970,0.06,1.4480000000000002e-06
1494678441980,0.06,7.240000000000001e-07
1494678441990,0.06,7.240000000000001e-07
1494678442000,0.06,1.0859999999999999e-06
1494678442010,0.06,7.240000000000001e-07
1494678442020,0.06,3.6200000000000004e-07
1494678442030,0.06,7.240000000000001e-07
1494678442040,0.06,3.6200000000000004e-07
1494678442050,0.06,1.0859999999999999e-06
1494678442060,0.06,0.0
1494678442070,0.06,1.0859999999999999e-06
1494678442080,0.06,7.240000000000001e-07
1494678442090,0.06,1.0859999999999999e-06
1494678442100,0.06,0.0
1494678442110,0.06,1.0859999999999999e-06
1494678442120,0.06,3.6200000000000004e-07
1494678442130,0.06,1.0859999999999999e-06
1494678442140,0.06,3.6200000000000004e-07
1494678442150,0.06,7.240000000000001e-07
1494678442160,0.06,1.0859999999999999e-06
1494678442170,0.06,1.4480000000000002e-06
1494678442180,0.06,0.0
1494678442190,0.06,7.240000000000001e-07
1494678442200,0.06,1.0859999999999999e-06
1494678442210,0.06,1.4480000000000002e-06
1494678442220,0.06,3.6200000000000004e-07
1494678442230,0.06,1.0859999999999999e-06
1494678442240,0.06,0.0
1494678442250,0.06,1.4480000000000002e-06
1494678442260,0.06,7.240000000000001e-07
1494678442270,0.06,7.240000000000001e-07
1494678442280,0.06,7.240000000000001e-07
1494678442290,0.06,1.4480000000000002e-06
1494678442300,0.06,3.6200000000000004e-07
1494678442310,0.06,1.0859999999999999e-06
1494678442320,0.06,1.0859999999999999e-06
1494678442330,0.06,7.240000000000001e-07
1494678442340,0.06,7.240000000000001e-07
1494678442350,0.06,1.4480000000000002e-06
1494678442360,0.06,0.0
1494678442370,0.06,1.4480000000000002e-06
1494678442380,0.06,7.240000000000001e-07
1494678442390,0.06,1.4480000000000002e-06
1494678442400,0.06,0.0
1494678442410,0.06,2.1719999999999997e-06
1494678442420,0.06,1.0859999999999999e-06
1494678442430,0.06,7.240000000000001e-07
1494678442440,0.06,1.0859999999999999e-06
1494678442450,0.06,7.240000000000001e-07
1494678442460,0.06,0.0
1494678442470,0.06,1.0859999999999999e-06
1494678442480,0.06,1.0859999999999999e-06
1494678442490,0.06,1.0859999999999999e-06
1494678442500,0.06,3.6200000000000004e-07
1494678442510,0.06,7.240000000000001e-07
1494678442520,0.06,3.6200000000000004e-07
1494678442530,0.06,1.81e-06
1494678442540,0.06,0.0
1494678442550,0.06,1.0859999999999999e-06
1494678442560,0.06,7.240000000000001e-07
1494678442570,0.06,1.0859999999999999e-06
1494678442580,0.06,7.240000000000001e-07
1494678442590,0.06,1.0859999999999999e-06
1494678442600,0.06,7.240000000000001e-07
1494678442610,0.06,7.240000000000001e-07
1494678442620,0.06,1.4480000000000002e-06
1494678442630,0.06,7.240000000000001e-07
1494678442640,0.06,3.6200000000000004e-07
1494678442650,0.06,1.81e-06
1494678442660,0.06,3.6200000000000004e-07
1494678442670,0.06,1.0859999999999999e-06
1494678442680,0.06,1.0859999999999999e-06
1494678442690,0.06,1.0859999999999999e-06
1494678442700,0.06,7.240000000000001e-07
1494678442710,0.06,1.4480000000000002e-06
1494678442720,0.06,7.240000000000001e-07
1494678442730,0.06,1.0859999999999999e-06
1494678442740,0.06,1.0859999999999999e-06
1494678442750,0.06,1.4480000000000002e-06
1494678442760,0.06,0.0
1494678442770,0.06,7.240000000000001e-07
1494678442780,0.06,7.240000000000001e-07
1494678442790,0.06,1.0859999999999999e-06
1494678442800,0.06,7.240000000000001e-07
1494678442810,0.06,1.4480000000000002e-06
1494678442820,0.06,7.240000000000001e-07
1494678442830,0.06,1.4480000000000002e-06
1494678442840,0.06,7.240000000000001e-07
1494678442850,0.06,2.5340000000000002e-06
1494678442860,0.06,3.6200000000000004e-07
1494678442870,0.06,7.240000000000001e-07
1494678442880,0.06,3.6200000000000004e-07
1494678442890,0.06,1.4480000000000002e-06
1494678442900,0.06,3.6200000000000004e-07
1494678442910,0.06,7.240000000000001e-07
1494678442920,0.06,7.240000000000001e-07
1494678442930,0.06,1.0859999999999999e-06
1494678442940,0.06,7.240000000000001e-07
1494678442950,0.06,1.0859999999999999e-06
1494678442960,0.06,7.240000000000001e-07
1494678442970,0.06,1.0859999999999999e-06
1494678442980,0.06,1.0859999999999999e-06
1494678442990,0.06,0.0
1494678443000,0.06,7.240000000000001e-07
1494678443010,0.06,0.0
1494678443020,0.06,1.0859999999999999e-06
1494678443030,0.06,3.6200000000000004e-07
1494678443040,0.06,1.81e-06
1494678443050,0.06,7.240000000000001e-07
1494678443060,0.06,1.0859999999999999e-06
