Timestamp,position,BLMTI.06R7.B1E10_TCSG.6R7.B1
1494677050560,-1.59,1.1945999999999999e-05
1494677050570,-1.59,2.6064e-05
1494677050580,-1.59,2.172e-05
1494677050590,-1.59,2.0996e-05
1494677050600,-1.59,1.086e-05
1494677050610,-1.59,1.629e-05
1494677050620,-1.59,1.086e-05
1494677050630,-1.59,2.3168000000000002e-05
1494677050640,-1.59,2.2082e-05
1494677050650,-1.59,2.8598000000000003e-05
1494677050660,-1.59,2.3891999999999998e-05
1494677050670,-1.59,2.8236e-05
1494677050680,-1.59,2.0996e-05
1494677050690,-1.59,2.0272000000000002e-05
1494677050700,-1.59,1.3755999999999998e-05
1494677050710,-1.59,1.8100000000000003e-05
1494677050720,-1.59,9.412e-06
1494677050730,-1.59,1.629e-05
1494677050740,-1.59,1.1945999999999999e-05
1494677050750,-1.59,1.8462e-05
1494677050760,-1.59,1.1584000000000001e-05
1494677050770,-1.59,1.8100000000000003e-05
1494677050780,-1.59,9.05e-06
1494677050790,-1.59,1.8100000000000003e-05
1494677050800,-1.59,1.3394000000000001e-05
1494677050810,-1.59,2.3891999999999998e-05
1494677050820,-1.59,1.8462e-05
1494677050830,-1.59,2.4978e-05
1494677050840,-1.59,2.0272000000000002e-05
1494677050850,-1.59,2.2082e-05
1494677050860,-1.59,1.1222e-05
1494677050870,-1.59,1.5204e-05
1494677050880,-1.59,9.774e-06
1494677050890,-1.59,2.4254000000000002e-05
1494677050900,-1.59,2.2082e-05
1494677050910,-1.59,2.5702e-05
1494677050920,-1.59,2.2444e-05
1494677050930,-1.59,2.4616e-05
1494677050940,-1.59,1.448e-05
1494677050950,-1.59,1.9548e-05
1494677050960,-1.59,1.0136000000000001e-05
1494677050970,-1.59,1.7014e-05
1494677050980,-1.59,1.5204e-05
1494677050990,-1.59,2.3168000000000002e-05
1494677051000,-1.59,1.629e-05
1494677051010,-1.59,2.0996e-05
1494677051020,-1.59,1.4842000000000001e-05
1494677051030,-1.59,1.991e-05
1494677051040,-1.59,1.086e-05
1494677051050,-1.59,1.7738e-05
1494677051060,-1.59,1.267e-05
1494677051070,-1.59,2.1358e-05
1494677051080,-1.59,1.5566e-05
1494677051090,-1.59,2.5702e-05
1494677051100,-1.59,1.5566e-05
1494677051110,-1.59,1.9186e-05
1494677051120,-1.59,1.3755999999999998e-05
1494677051130,-1.59,1.991e-05
1494677051140,-1.59,1.6652e-05
1494677051150,-1.59,1.7738e-05
1494677051160,-1.59,9.05e-06
1494677051170,-1.59,1.4118e-05
1494677051180,-1.59,7.24e-06
1494677051190,-1.59,1.4842000000000001e-05
1494677051200,-1.59,8.687999999999999e-06
1494677051210,-1.59,1.5566e-05
1494677051220,-1.59,1.1222e-05
1494677051230,-1.59,1.991e-05
