,jaw,height,position,Maximum value,decay_a,decay_b,decay_c,spike,collimator_type,beam_type,beam_state
766,1,1.1336030000000004,12.410547094365459,1.4480000000000004,1.1415993334773236,34.326961191661006,0.3064006665226957,0,TCTPV,PROTON,I
767,1,1.1482640000000004,17.347390188985006,1.4480000000000004,1.1331385155797307,17.929645360966063,0.3148614347338001,0,TCTPV,PROTON,I
768,1,1.5037479999999999,15.983996544349164,1.81,1.502994990007443,25.749511784132373,0.3070050092315333,0,TCTPV,PROTON,I
769,1,0.8193870000000001,10.842611162438414,1.086,0.8092119515777364,18.551480741300256,0.2767879808883153,0,TCTPV,PROTON,I
770,0,2.4565320000000006,8.372188190586,2.896000000000001,2.4796093490030944,48.643268571499306,0.4163906491013344,0,TCSG,PROTON,I
771,0,1.4569382716049382,9.672918988436559,1.81,1.4643308240536237,24.929636175057958,0.345669175946481,0,TCLA,PROTON,I
772,1,1.1424320802005017,13.113773819528488,1.4480000000000004,1.1428078367581465,16.716140027134895,0.3051919881468283,0,TCTPV,PROTON,I
773,0,1.4650395593390084,12.070961831569475,1.81,1.459508670520224,37.28579756285228,0.3504913294797706,0,TCSG,PROTON,I
774,1,0.7965135983263598,21.951959858350307,1.086,0.8171455253202343,2.617131101977217,0.2699370547207404,0,TCLIB,PROTON,I
775,1,1.0963428571428575,12.723588354618899,1.4480000000000004,1.0998998344495627,43.418555156696115,0.3481001655504579,0,TCTPV,PROTON,I
776,1,1.0820180000000004,21.664778609808906,1.4480000000000004,1.1053388985692667,43.40756757541029,0.3426611014306058,0,TCSG,PROTON,I
777,1,1.1142457399103143,7.149892587005853,1.4480000000000004,1.0672654035252545,18.676174037680823,0.38073455793504435,0,TCSG,PROTON,I
778,0,1.503929,16.575096433118315,1.81,1.5060166956249408,37.98700971403702,0.3039833043749808,0,TCTPV,PROTON,I
779,0,1.0954355889724314,12.979962250617069,1.4480000000000004,1.1005041727527394,43.82351419449258,0.3474958272472906,0,TCTPV,PROTON,I
