Timestamp,position,BLMTI.05L3.B2E10_TCLA.B5L3.B2
1459602024480,8.81,1.4480000000000002e-06
1459602024490,8.81,0.0
1459602024500,8.81,3.6200000000000004e-07
1459602024510,8.81,0.0
1459602024520,8.81,3.6200000000000004e-07
1459602024530,8.81,0.0
1459602024540,8.81,0.0
1459602024550,8.81,7.240000000000001e-07
1459602024560,8.81,3.6200000000000004e-07
1459602024570,8.81,0.0
1459602024580,8.81,1.0859999999999999e-06
1459602024590,8.81,7.240000000000001e-07
1459602024600,8.81,7.240000000000001e-07
1459602024610,8.81,3.6200000000000004e-07
1459602024620,8.81,3.6200000000000004e-07
1459602024630,8.81,3.6200000000000004e-07
1459602024640,8.81,0.0
1459602024650,8.81,3.6200000000000004e-07
1459602024660,8.81,0.0
1459602024670,8.81,3.6200000000000004e-07
1459602024680,8.81,1.0859999999999999e-06
1459602024690,8.81,0.0
1459602024700,8.81,3.6200000000000004e-07
1459602024710,8.81,0.0
1459602024720,8.81,7.240000000000001e-07
1459602024730,8.81,0.0
1459602024740,8.81,3.6200000000000004e-07
1459602024750,8.81,3.6200000000000004e-07
1459602024760,8.81,3.6200000000000004e-07
1459602024770,8.81,3.6200000000000004e-07
1459602024780,8.81,0.0
1459602024790,8.81,7.240000000000001e-07
1459602024800,8.81,7.240000000000001e-07
1459602024810,8.81,0.0
1459602024820,8.81,3.6200000000000004e-07
1459602024830,8.81,3.6200000000000004e-07
1459602024840,8.81,0.0
1459602024850,8.81,3.6200000000000004e-07
1459602024860,8.81,3.6200000000000004e-07
1459602024870,8.81,3.6200000000000004e-07
1459602024880,8.81,3.6200000000000004e-07
1459602024890,8.81,3.6200000000000004e-07
1459602024900,8.81,3.6200000000000004e-07
1459602024910,8.81,7.240000000000001e-07
1459602024920,8.81,0.0
1459602024930,8.81,3.6200000000000004e-07
1459602024940,8.81,3.6200000000000004e-07
1459602024950,8.81,0.0
1459602024960,8.81,7.240000000000001e-07
1459602024970,8.81,0.0
1459602024980,8.81,3.6200000000000004e-07
1459602024990,8.81,0.0
1459602025000,8.81,3.6200000000000004e-07
1459602025010,8.81,1.0859999999999999e-06
1459602025020,8.81,3.6200000000000004e-07
1459602025030,8.81,3.6200000000000004e-07
1459602025040,8.81,0.0
1459602025050,8.81,3.6200000000000004e-07
1459602025060,8.81,3.6200000000000004e-07
1459602025070,8.81,7.240000000000001e-07
1459602025080,8.81,3.6200000000000004e-07
1459602025090,8.81,3.6200000000000004e-07
1459602025100,8.81,0.0
1459602025110,8.81,3.6200000000000004e-07
1459602025120,8.81,0.0
1459602025130,8.81,3.6200000000000004e-07
1459602025140,8.81,3.6200000000000004e-07
1459602025150,8.81,0.0
1459602025160,8.81,7.240000000000001e-07
1459602025170,8.81,3.6200000000000004e-07
1459602025180,8.81,0.0
1459602025190,8.81,0.0
1459602025200,8.81,0.0
1459602025210,8.81,3.6200000000000004e-07
1459602025220,8.81,0.0
1459602025230,8.81,0.0
1459602025240,8.81,0.0
1459602025250,8.81,3.6200000000000004e-07
1459602025260,8.81,7.240000000000001e-07
1459602025270,8.81,3.6200000000000004e-07
1459602025280,8.81,3.6200000000000004e-07
1459602025290,8.81,3.6200000000000004e-07
1459602025300,8.81,0.0
1459602025310,8.81,7.240000000000001e-07
1459602025320,8.81,0.0
1459602025330,8.81,3.6200000000000004e-07
1459602025340,8.81,0.0
1459602025350,8.81,3.6200000000000004e-07
1459602025360,8.81,3.6200000000000004e-07
1459602025370,8.81,7.240000000000001e-07
1459602025380,8.81,3.6200000000000004e-07
1459602025390,8.81,3.6200000000000004e-07
1459602025400,8.81,3.6200000000000004e-07
1459602025410,8.81,3.6200000000000004e-07
1459602025420,8.81,7.240000000000001e-07
1459602025430,8.81,0.0
1459602025440,8.81,7.240000000000001e-07
1459602025450,8.81,0.0
1459602025460,8.81,3.6200000000000004e-07
1459602025470,8.81,0.0
1459602025480,8.81,7.240000000000001e-07
1459602025490,8.81,1.0859999999999999e-06
1459602025500,8.81,0.0
1459602025510,8.81,3.6200000000000004e-07
1459602025520,8.81,0.0
1459602025530,8.81,3.6200000000000004e-07
1459602025540,8.81,0.0
1459602025550,8.81,3.6200000000000004e-07
1459602025560,8.81,3.6200000000000004e-07
1459602025570,8.81,0.0
1459602025580,8.81,3.6200000000000004e-07
1459602025590,8.81,7.240000000000001e-07
1459602025600,8.81,0.0
1459602025610,8.81,3.6200000000000004e-07
1459602025620,8.81,0.0
1459602025630,8.81,3.6200000000000004e-07
1459602025640,8.81,3.6200000000000004e-07
1459602025650,8.81,7.240000000000001e-07
1459602025660,8.81,3.6200000000000004e-07
1459602025670,8.81,3.6200000000000004e-07
1459602025680,8.81,0.0
1459602025690,8.81,3.6200000000000004e-07
1459602025700,8.81,0.0
1459602025710,8.81,0.0
1459602025720,8.81,0.0
1459602025730,8.81,3.6200000000000004e-07
1459602025740,8.81,7.240000000000001e-07
1459602025750,8.81,7.240000000000001e-07
1459602025760,8.81,0.0
1459602025770,8.81,3.6200000000000004e-07
1459602025780,8.81,3.6200000000000004e-07
1459602025790,8.81,3.6200000000000004e-07
1459602025800,8.81,0.0
1459602025810,8.81,7.240000000000001e-07
1459602025820,8.81,0.0
1459602025830,8.81,0.0
1459602025840,8.81,7.240000000000001e-07
1459602025850,8.81,7.240000000000001e-07
1459602025860,8.81,0.0
1459602025870,8.81,0.0
1459602025880,8.81,0.0
1459602025890,8.81,0.0
1459602025900,8.81,0.0
1459602025910,8.81,3.6200000000000004e-07
1459602025920,8.81,0.0
1459602025930,8.81,3.6200000000000004e-07
1459602025940,8.81,3.6200000000000004e-07
1459602025950,8.81,1.0859999999999999e-06
1459602025960,8.81,3.6200000000000004e-07
1459602025970,8.81,3.6200000000000004e-07
1459602025980,8.81,0.0
1459602025990,8.81,3.6200000000000004e-07
1459602026000,8.81,0.0
1459602026010,8.81,3.6200000000000004e-07
1459602026020,8.81,0.0
1459602026030,8.81,0.0
1459602026040,8.81,0.0
1459602026050,8.81,3.6200000000000004e-07
1459602026060,8.81,3.6200000000000004e-07
1459602026070,8.81,0.0
1459602026080,8.81,7.240000000000001e-07
1459602026090,8.81,3.6200000000000004e-07
1459602026100,8.81,7.240000000000001e-07
1459602026110,8.81,3.6200000000000004e-07
1459602026120,8.81,3.6200000000000004e-07
1459602026130,8.81,0.0
1459602026140,8.81,0.0
1459602026150,8.81,0.0
1459602026160,8.81,3.6200000000000004e-07
1459602026170,8.81,3.6200000000000004e-07
1459602026180,8.81,3.6200000000000004e-07
1459602026190,8.81,3.6200000000000004e-07
1459602026200,8.81,0.0
1459602026210,8.81,7.240000000000001e-07
1459602026220,8.81,3.6200000000000004e-07
1459602026230,8.81,3.6200000000000004e-07
1459602026240,8.81,0.0
1459602026250,8.81,7.240000000000001e-07
1459602026260,8.81,0.0
1459602026270,8.81,3.6200000000000004e-07
1459602026280,8.81,0.0
1459602026290,8.81,0.0
1459602026300,8.81,7.240000000000001e-07
1459602026310,8.81,0.0
1459602026320,8.81,0.0
1459602026330,8.81,0.0
1459602026340,8.81,0.0
1459602026350,8.81,3.6200000000000004e-07
1459602026360,8.81,3.6200000000000004e-07
1459602026370,8.81,3.6200000000000004e-07
1459602026380,8.81,3.6200000000000004e-07
1459602026390,8.81,3.6200000000000004e-07
1459602026400,8.81,3.6200000000000004e-07
1459602026410,8.81,1.0859999999999999e-06
1459602026420,8.81,3.6200000000000004e-07
1459602026430,8.81,7.240000000000001e-07
1459602026440,8.81,0.0
1459602026450,8.81,3.6200000000000004e-07
1459602026460,8.81,3.6200000000000004e-07
1459602026470,8.81,0.0
1459602026480,8.81,3.6200000000000004e-07
1459602026490,8.81,0.0
1459602026500,8.81,1.4480000000000002e-06
1459602026510,8.81,3.6200000000000004e-07
1459602026520,8.81,3.6200000000000004e-07
1459602026530,8.81,3.6200000000000004e-07
1459602026540,8.81,0.0
1459602026550,8.81,0.0
1459602026560,8.81,3.6200000000000004e-07
1459602026570,8.81,7.240000000000001e-07
1459602026580,8.81,0.0
1459602026590,8.81,0.0
1459602026600,8.81,3.6200000000000004e-07
1459602026610,8.81,0.0
1459602026620,8.81,1.0859999999999999e-06
1459602026630,8.81,3.6200000000000004e-07
1459602026640,8.81,7.240000000000001e-07
1459602026650,8.81,1.0859999999999999e-06
1459602026660,8.81,0.0
1459602026670,8.81,7.240000000000001e-07
1459602026680,8.81,0.0
1459602026690,8.81,3.6200000000000004e-07
1459602026700,8.81,0.0
1459602026710,8.81,0.0
1459602026720,8.81,0.0
1459602026730,8.81,3.6200000000000004e-07
1459602026740,8.81,3.6200000000000004e-07
1459602026750,8.81,7.240000000000001e-07
1459602026760,8.81,3.6200000000000004e-07
1459602026770,8.81,3.6200000000000004e-07
1459602026780,8.81,7.240000000000001e-07
1459602026790,8.81,0.0
1459602026800,8.81,0.0
1459602026810,8.81,0.0
1459602026820,8.81,0.0
1459602026830,8.81,7.240000000000001e-07
1459602026840,8.81,0.0
