Timestamp,position,BLMTI.04L7.B1E10_TCSG.D4L7.B1
1459607403450,8.335,1.0859999999999999e-06
1459607403460,8.335,0.0
1459607403470,8.335,7.240000000000001e-07
1459607403480,8.335,0.0
1459607403490,8.335,7.240000000000001e-07
1459607403500,8.335,0.0
1459607403510,8.335,7.240000000000001e-07
1459607403520,8.335,1.0859999999999999e-06
1459607403530,8.335,7.240000000000001e-07
1459607403540,8.335,0.0
1459607403550,8.335,7.240000000000001e-07
1459607403560,8.335,3.6200000000000004e-07
1459607403570,8.335,7.240000000000001e-07
1459607403580,8.335,0.0
1459607403590,8.335,1.4480000000000002e-06
1459607403600,8.335,0.0
1459607403610,8.335,1.4480000000000002e-06
1459607403620,8.335,3.6200000000000004e-07
1459607403630,8.335,1.0859999999999999e-06
1459607403640,8.335,3.6200000000000004e-07
1459607403650,8.335,1.4480000000000002e-06
1459607403660,8.335,0.0
1459607403670,8.335,1.0859999999999999e-06
1459607403680,8.335,0.0
1459607403690,8.335,1.4480000000000002e-06
1459607403700,8.335,0.0
1459607403710,8.335,1.0859999999999999e-06
1459607403720,8.335,0.0
1459607403730,8.335,3.6200000000000004e-07
1459607403740,8.335,0.0
1459607403750,8.335,1.0859999999999999e-06
1459607403760,8.335,0.0
1459607403770,8.335,0.0
1459607403780,8.335,0.0
1459607403790,8.335,1.4480000000000002e-06
1459607403800,8.335,0.0
1459607403810,8.335,7.240000000000001e-07
1459607403820,8.335,0.0
1459607403830,8.335,1.0859999999999999e-06
1459607403840,8.335,0.0
1459607403850,8.335,7.240000000000001e-07
1459607403860,8.335,3.6200000000000004e-07
1459607403870,8.335,1.0859999999999999e-06
1459607403880,8.335,0.0
1459607403890,8.335,3.6200000000000004e-07
1459607403900,8.335,3.6200000000000004e-07
1459607403910,8.335,7.240000000000001e-07
1459607403920,8.335,0.0
1459607403930,8.335,7.240000000000001e-07
1459607403940,8.335,3.6200000000000004e-07
1459607403950,8.335,3.6200000000000004e-07
1459607403960,8.335,0.0
1459607403970,8.335,3.6200000000000004e-07
1459607403980,8.335,3.6200000000000004e-07
1459607403990,8.335,7.240000000000001e-07
1459607404000,8.335,0.0
1459607404010,8.335,7.240000000000001e-07
1459607404020,8.335,3.6200000000000004e-07
1459607404030,8.335,1.0859999999999999e-06
1459607404040,8.335,0.0
1459607404050,8.335,3.6200000000000004e-07
1459607404060,8.335,7.240000000000001e-07
1459607404070,8.335,1.0859999999999999e-06
1459607404080,8.335,0.0
1459607404090,8.335,3.6200000000000004e-07
1459607404100,8.335,0.0
1459607404110,8.335,7.240000000000001e-07
1459607404120,8.335,0.0
1459607404130,8.335,7.240000000000001e-07
1459607404140,8.335,7.240000000000001e-07
1459607404150,8.335,0.0
1459607404160,8.335,7.240000000000001e-07
1459607404170,8.335,7.240000000000001e-07
1459607404180,8.335,0.0
1459607404190,8.335,3.6200000000000004e-07
1459607404200,8.335,0.0
1459607404210,8.335,1.4480000000000002e-06
1459607404220,8.335,0.0
1459607404230,8.335,7.240000000000001e-07
1459607404240,8.335,7.240000000000001e-07
1459607404250,8.335,0.0
1459607404260,8.335,3.6200000000000004e-07
1459607404270,8.335,3.6200000000000004e-07
1459607404280,8.335,1.0859999999999999e-06
1459607404290,8.335,0.0
1459607404300,8.335,0.0
1459607404310,8.335,1.0859999999999999e-06
1459607404320,8.335,3.6200000000000004e-07
1459607404330,8.335,7.240000000000001e-07
1459607404340,8.335,0.0
1459607404350,8.335,1.4480000000000002e-06
1459607404360,8.335,3.6200000000000004e-07
1459607404370,8.335,1.0859999999999999e-06
1459607404380,8.335,7.240000000000001e-07
1459607404390,8.335,0.0
1459607404400,8.335,3.6200000000000004e-07
1459607404410,8.335,1.0859999999999999e-06
1459607404420,8.335,7.240000000000001e-07
1459607404430,8.335,0.0
1459607404440,8.335,3.6200000000000004e-07
1459607404450,8.335,3.6200000000000004e-07
1459607404460,8.335,7.240000000000001e-07
1459607404470,8.335,7.240000000000001e-07
